from,to,cost
721,445,0.79
770,702,0.9259999999999999
97,397,3.4210000000000003
408,295,0.897
391,576,4.126
20,395,0.402
511,20,0.772
574,743,0.76
705,619,0.319
702,643,0.934
686,721,0.5529999999999999
654,554,0.7929999999999999
186,235,0.66
643,186,0.226
765,770,0.593
471,312,0.69
577,269,0.385
128,389,0.802
844,393,0.522
341,844,1.594
731,341,0.6859999999999999
768,132,1.874
646,216,1.031
216,170,1.341
170,640,0.7829999999999999
640,620,0.8190000000000001
620,501,1.6380000000000001
501,4,0.256
683,852,2.716
550,44,0.736
648,375,0.22399999999999998
375,408,0.64
295,676,0.866
174,156,0.802
791,372,0.747
372,173,0.305
299,657,2.855
657,581,0.593
581,391,0.884
302,511,0.37
628,302,0.789
743,628,0.726
526,574,0.955
122,526,0.496
823,122,0.62
176,823,0.667
466,176,0.318
685,466,0.413
356,328,0.7959999999999999
453,356,0.456
859,324,0.6629999999999999
565,284,0.24
716,163,1.5130000000000001
619,799,0.561
393,128,0.546
156,791,0.625
173,784,2.336
389,577,1.032
376,663,1.756
639,97,0.976
699,768,0.307
82,731,0.609
199,82,1.006
784,299,2.242
789,860,2.589
44,648,0.736
554,377,1.236
377,686,1.57
269,471,0.872
235,654,7.281000000000001
676,174,0.9470000000000001
852,550,0.705
395,208,1.21
397,699,0.598
132,646,1.406
482,744,0.483
4,547,1.16
163,705,1.04
547,240,0.255
312,765,0.7390000000000001
328,685,0.223
324,453,0.693
180,859,0.789
276,180,0.48200000000000004
208,256,1.023
256,639,1.036
256,199,4.669
284,384,1.804
384,698,2.903
698,482,2.414
744,575,0.161
575,376,4.843
860,716,1.228
799,79,0.809
240,683,7.196
663,789,17.238
