from,to,cost
35,841,0.8440000000000001
249,120,0.56
607,139,2.178
387,607,0.79
569,387,1.064
29,569,0.191
800,29,1.187
315,800,1.4169999999999998
637,315,0.626
58,564,0.75
795,495,1.31
653,66,3.656
830,227,0.207
572,830,0.272
451,764,0.529
244,675,0.56
383,244,0.589
95,383,0.414
867,95,0.72
105,517,0.273
61,782,0.8340000000000001
305,61,0.7559999999999999
762,722,0.889
726,762,0.29
687,726,0.6509999999999999
421,217,0.8190000000000001
837,421,1.186
195,140,0.624
458,195,0.24
27,458,0.898
283,150,0.652
841,283,0.9079999999999999
523,35,1.235
519,28,2.052
483,102,1.945
120,483,0.368
561,249,1.537
597,561,0.336
777,452,0.20800000000000002
113,777,1.347
57,130,0.7829999999999999
750,242,0.32299999999999995
96,185,1.8030000000000002
185,160,1.879
160,331,1.3030000000000002
133,62,0.972
836,187,2.205
187,335,0.14300000000000002
335,754,2.015
571,197,1.0290000000000001
197,658,0.359
439,634,0.39
559,560,3.983
563,795,1.554
242,724,0.321
764,572,0.802
102,519,1.253
452,597,1.314
130,113,1.588
754,587,3.835
462,836,0.24
564,637,1.2229999999999999
674,58,0.7340000000000001
495,674,0.585
436,563,2.115
558,27,0.324
290,750,0.828
724,133,0.977
435,489,1.21
512,435,1.3730000000000002
125,512,0.7070000000000001
179,105,0.606
331,290,0.451
66,125,3.347
675,451,1.127
560,546,0.488
546,348,1.486
348,98,4.337
634,559,1.569
1,179,0.391
16,139,1.389
518,98,7.349
28,677,2.093
517,867,0.469
658,439,1.033
62,462,0.588
139,1,4.561
434,305,1.413
722,434,0.6409999999999999
217,92,0.8029999999999999
140,837,0.6709999999999999
150,558,0.483
677,523,0.531
227,653,2.674
98,57,0.815
420,96,2.06
782,16,1.722
