from,to,cost
317842,318711,0.872
318721,315955,1.322
315927,318236,1.222
318711,318721,0.233
318236,317843,1.22
315955,315938,0.239
315969,315927,0.256
312343,312439,0.283
312439,313114,1.85
313111,317853,1.031
313114,313111,0.218
317852,312346,3.208
316174,317852,0.557
317853,313132,0.751
316085,316174,1.369
313132,316084,1.171
315982,316085,1.095
316084,315993,1.108
315993,316009,0.255
316001,315982,0.17
316009,316018,0.782
316009,316019,0.782
316032,316001,1.493
316018,316045,0.795
316019,316045,0.795
314379,314248,0.338
314379,315904,0.338
315903,314248,0.338
315903,315904,0.338
313551,313552,0.341
313551,315901,0.341
315900,313552,0.341
315900,315901,0.341
312139,311903,0.295
312139,311930,0.295
311903,318282,0.6
311930,318282,0.6
318282,312098,0.337
318282,316364,0.337
318022,318102,1.495
313979,318022,2.016
318113,314013,3.645
314013,314013,0.0
313552,314379,3.082
313552,315903,3.082
315901,314379,3.082
315901,315903,3.082
318550,313551,3.753
318550,315900,3.753
318551,313551,3.753
318551,315900,3.753
316271,318550,1.341
316271,318551,1.341
316280,318550,1.341
316280,318551,1.341
313055,316271,0.496
313055,316280,0.496
314042,314036,0.181
314042,315895,0.181
315894,314036,0.181
315894,315895,0.181
314036,313055,5.195
315895,313055,5.195
313658,314042,3.862
313658,315894,3.862
314668,313658,3.695
314711,314668,0.181
314712,314668,0.181
313852,314711,1.008
313852,314712,1.008
314876,314886,0.263
314886,314899,1.412
314899,314909,0.47
314909,314923,2.119
314923,314936,1.036
314936,314968,1.964
314955,314982,0.551
314982,315017,0.38
315017,318632,1.363
318632,315054,1.318
315054,312343,3.579
315054,315969,4.115
315938,315006,3.155
315938,312343,4.099
315938,317885,6.996
317884,315804,1.552
315804,312343,5.162
315804,315006,4.28
315804,315969,5.875
317884,318383,10.194
318366,318354,0.164
318383,318451,0.835
313772,318366,0.925
318354,318142,1.932
318142,318126,0.63
312220,312103,0.301
312236,312220,2.057
314371,314559,0.271
314559,313852,5.255
312098,314371,6.036
316364,314371,6.036
312103,312010,2.757
314968,316073,2.986
314968,316074,2.986
316073,314955,1.218
316074,314955,1.218
318451,312139,4.676
312010,313772,4.274
314013,314025,0.252
314025,318076,1.965
318077,313979,2.371
318076,318053,2.881
318052,318077,2.875
318053,314548,5.355
314548,318135,0.586
314548,318736,0.586
318126,318052,5.382
318135,318383,2.183
318736,318383,2.183
