from,to,cost
222,734,0.309
101,273,1.445
509,697,0.721
506,822,1.6440000000000001
880,108,0.58
317,679,0.47700000000000004
600,317,0.64
585,36,14.353
838,585,4.0760000000000005
838,14,0.831
812,19,0.598
863,591,2.504
863,792,1.88
601,787,1.9680000000000002
71,437,0.996
781,222,3.315
37,781,0.145
627,447,0.135
586,627,1.359
237,586,0.8009999999999999
668,237,0.8170000000000001
845,668,1.621
253,845,3.924
513,710,0.192
818,513,0.7709999999999999
697,101,0.882
821,228,0.6890000000000001
166,821,0.14400000000000002
181,166,0.64
124,181,0.24100000000000002
261,124,0.513
623,261,1.064
412,623,2.0869999999999997
454,412,2.614
138,454,2.474
822,138,4.345
339,506,0.578
714,349,0.8390000000000001
349,184,0.55
184,880,0.905
226,431,0.431
431,491,0.493
68,91,0.679
735,45,0.7759999999999999
670,194,2.263
694,77,0.382
21,531,2.9560000000000004
323,279,1.234
194,75,1.185
734,71,4.0089999999999995
157,417,0.529
752,323,0.391
75,752,1.143
271,670,0.865
650,68,3.427
45,876,2.825
787,590,3.312
19,456,1.665
456,100,1.641
487,825,1.433
825,863,0.436
792,652,0.342
535,812,1.871
712,601,0.415
876,535,4.595
590,398,0.838
398,879,0.496
879,608,1.821
14,487,1.198
652,712,0.973
228,509,1.767
608,21,1.242
279,735,2.005
273,818,1.912
437,334,2.0340000000000003
108,226,0.49700000000000005
298,661,1.224
447,37,0.925
390,161,1.7619999999999998
461,629,3.822
629,390,5.981
629,262,1.591
661,182,1.028
416,484,0.513
484,617,0.9590000000000001
36,278,1.133
531,694,2.01
77,416,0.61
161,271,1.594
617,461,1.751
334,714,2.162
417,476,0.11199999999999999
843,253,3.8089999999999997
591,600,8.862
710,843,0.785
