from,to,cost
582,203,0.805
673,12,0.321
599,292,1.7890000000000001
732,582,0.225
203,209,0.307
12,733,0.37
594,371,2.715
524,599,1.412
532,450,1.391
24,532,0.775
11,24,0.6809999999999999
26,508,0.722
873,527,0.7859999999999999
855,200,0.899
200,442,0.9329999999999999
196,673,0.885
533,196,0.306
229,392,0.532
486,229,0.305
350,26,0.593
135,350,0.319
65,63,0.20800000000000002
615,65,0.305
215,681,0.374
401,215,0.306
737,231,0.39899999999999997
231,373,0.35
81,774,0.687
209,131,0.599
190,188,0.304
188,229,5.2
188,467,0.578
527,106,0.304
106,309,0.914
252,556,0.29100000000000004
556,127,0.763
778,875,0.43200000000000005
875,493,0.35200000000000004
78,455,0.31
455,225,3.783
309,252,0.402
63,135,1.091
681,615,0.941
127,778,0.503
373,401,0.607
493,81,0.863
225,11,1.6569999999999998
733,594,1.393
131,267,0.7879999999999999
611,533,0.789
392,611,0.79
267,190,0.741
508,486,0.7859999999999999
467,873,0.722
861,740,2.37
740,666,0.51
769,43,0.341
43,119,0.61
119,234,0.7020000000000001
718,775,0.894
234,584,0.34
584,745,0.425
313,379,0.409
379,693,1.585
745,313,1.125
360,33,0.715
693,593,0.354
593,485,0.835
48,507,1.354
485,642,0.852
642,504,1.053
816,48,0.861
504,47,1.088
47,86,0.9590000000000001
145,557,1.4280000000000002
86,855,1.874
292,145,0.648
557,816,0.72
507,711,0.534
711,260,1.222
260,329,0.308
329,360,0.93
33,221,0.32
221,718,0.445
775,268,0.34299999999999997
268,817,1.15
817,418,0.518
666,769,1.413
338,737,0.799
774,595,1.4880000000000002
776,338,1.4880000000000002
595,625,1.604
442,776,1.608
625,524,0.986
