from,to,cost
9,153,310.6
153,62,330.9
62,111,332.9
111,11,324.2
11,28,336.0
28,169,133.7
138,135,354.7
135,133,387.9
133,163,337.1
163,20,352.0
20,19,420.8
19,14,351.3
14,39,340.2
39,164,350.3
164,167,365.2
167,70,359.0
70,59,388.2
59,58,305.7
58,67,294.4
67,66,299.5
66,55,313.3
55,53,332.1
53,150,278.9
150,61,308.4
61,64,311.4
64,63,243.6
47,65,372.8
65,48,319.4
48,49,309.7
49,54,320.5
54,56,318.3
56,57,297.9
57,68,293.5
68,69,342.5
69,60,318.0
60,17,305.9
17,5,321.4
5,18,402.2
18,22,447.4
22,30,377.5
30,29,417.7
29,21,360.8
21,132,407.6
132,134,386.9
134,136,350.2
123,121,326.3
121,140,385.2
140,118,393.0
118,96,296.7
96,94,398.2
94,86,337.1
86,78,473.8
78,46,353.4
46,152,385.7
12,139,328.8
139,168,412.6
168,154,337.3
154,143,370.7
143,10,6.3
107,105,354.6
129,156,256.1
156,33,329.1
33,32,356.5
43,100,338.9
100,83,347.9
83,87,327.2
87,88,321.0
88,75,335.8
75,51,384.8
51,73,391.1
73,71,289.3
31,155,260.0
155,34,320.4
34,128,393.3
145,115,399.4
115,112,328.1
161,110,367.7
110,160,102.0
72,159,342.9
159,50,383.3
50,74,354.1
74,82,350.2
82,81,335.4
81,99,391.6
99,84,354.9
26,27,341.6
27,6,359.4
65,72,297.9
72,48,21.5
17,153,375.6
153,5,256.3
153,62,330.9
18,6,499.4
6,22,254.0
26,32,106.7
9,129,148.3
129,153,219.6
31,26,116.0
26,155,270.7
9,128,142.2
128,153,215.0
153,167,269.7
167,62,64.8
62,70,332.6
6,14,289.3
150,71,221.1
71,61,89.6
78,107,143.9
107,46,236.3
168,167,172.4
167,154,165.2
143,128,81.9
128,10,88.2
118,145,250.6
145,96,85.1
31,160,116.5
160,155,272.4
150,71,221.1
71,61,89.6
32,160,107.7
65,72,297.9
72,48,21.5
168,17,232.7
17,154,294.2
154,5,166.3
78,107,143.9
107,46,236.3
118,145,250.6
145,96,85.1
