from,to,cost
680,129,0.596
449,555,3.909
739,241,0.802
118,472,0.805
300,704,0.33799999999999997
704,536,1.24
153,300,1.294
51,153,1.172
440,51,1.3730000000000002
322,440,1.521
729,322,0.557
250,729,1.077
191,250,1.016
636,191,0.29600000000000004
93,636,1.238
351,93,1.483
351,112,0.895
346,680,0.268
717,346,0.594
168,832,1.456
804,168,1.128
459,804,1.454
289,760,0.504
592,510,0.465
361,864,0.9359999999999999
713,449,0.326
808,717,0.804
864,808,0.337
555,840,0.48200000000000004
162,568,1.909
568,739,0.92
814,344,4.592
344,494,10.337
472,104,1.27
536,118,1.93
815,713,1.5519999999999998
129,351,0.275
38,46,5.834
281,864,2.6260000000000003
281,357,1.112
632,38,1.127
415,534,1.182
690,645,0.805
645,756,0.966
756,238,0.48100000000000004
238,580,0.972
580,669,0.805
669,700,0.818
534,538,0.972
538,824,1.1320000000000001
824,543,1.827
700,353,0.38799999999999996
840,834,3.0589999999999997
543,275,2.31
121,469,2.077
22,121,1.751
337,540,1.227
159,38,2.662
159,337,0.336
510,159,0.8029999999999999
241,813,0.963
813,814,2.34
834,162,1.7069999999999999
342,806,0.935
839,189,1.287
189,539,2.09
275,839,0.802
622,258,2.025
399,622,0.321
539,444,1.77
806,399,0.997
832,342,0.66
469,828,1.288
828,715,1.449
715,281,4.011
715,624,1.7690000000000001
624,881,0.48100000000000004
46,478,2.41
478,410,2.411
410,692,0.48
444,211,0.31
211,433,4.614
760,459,0.948
433,631,0.325
631,809,2.591
254,422,2.166
307,254,0.637
616,307,1.94
423,402,0.654
728,281,5.496
728,423,2.9
809,728,2.521
422,219,1.524
219,815,3.7539999999999996
881,46,2.414
402,616,1.3090000000000002
258,275,0.7070000000000001
353,415,1.9609999999999999
