from,to,cost
9,153,310.6
153,62,330.9
62,111,332.9
111,11,324.2
11,28,336.0
28,169,133.7
138,135,354.7
135,133,387.9
133,163,337.1
163,20,352.0
20,19,420.8
19,14,351.3
14,39,340.2
39,164,350.3
164,167,365.2
167,70,359.0
70,59,388.2
59,58,305.7
58,67,294.4
67,66,299.5
22,30,377.5
30,29,417.7
29,21,360.8
21,132,407.6
132,134,386.9
134,136,350.2
152,157,350.0
157,35,354.4
35,77,356.1
77,52,354.2
52,3,357.8
3,16,382.4
16,0,55.7
104,148,362.1
148,97,316.3
97,101,380.7
101,137,361.4
137,102,365.5
102,24,375.5
24,166,312.2
91,89,405.6
89,147,347.0
147,15,351.7
15,44,339.5
44,41,350.8
8,117,816.2
117,125,397.1
125,127,372.7
127,109,380.5
13,40,327.4
40,162,413.9
162,108,301.9
108,146,317.8
146,85,376.6
85,90,347.0
149,126,388.0
126,124,384.3
124,7,763.3
7,114,323.1
114,113,351.6
113,116,411.9
116,144,262.0
25,103,350.2
103,23,376.3
23,165,396.4
165,38,381.0
38,92,368.0
92,37,336.3
37,130,357.8
130,106,532.3
106,131,166.5
1,2,371.6
2,4,338.1
4,76,429.0
76,36,366.1
36,158,344.5
158,151,350.1
151,45,358.8
45,93,340.9
93,80,329.9
80,79,384.1
79,95,335.7
95,98,320.9
98,119,340.3
119,120,376.8
120,122,393.1
122,141,428.7
141,142,359.3
30,165,379.6
165,29,41.7
29,38,343.3
153,62,330.9
22,149,185.4
22,4,257.9
4,30,236.8
30,76,307.0
95,98,320.9
98,144,45.1
45,93,340.9
93,106,112.2
162,151,113.6
151,108,192.9
108,45,359.8
146,92,311.2
92,85,343.9
85,37,373.2
13,169,326.2
169,40,96.1
124,13,460.7
13,7,305.5
7,40,624.1
124,169,145.2
169,7,631.5
90,132,152.2
153,167,269.7
167,62,64.8
62,70,332.6
124,169,145.2
169,7,631.5
44,169,397.8
169,41,124.0
44,124,375.7
124,41,243.9
41,7,519.4
14,149,259.0
149,39,206.9
144,98,45.1
19,4,326.8
4,14,178.6
14,76,299.0
15,151,136.4
151,44,203.1
45,106,260.6
106,93,112.2
20,165,132.5
165,19,289.2
89,92,323.2
92,147,321.9
147,37,48.2
133,91,152.8
91,163,313.6
104,147,277.5
147,148,84.7
20,101,201.2
101,19,534.4
19,137,245.5
8,42,759.5
42,117,58.9
44,42,342.3
42,41,102.5
44,8,789.1
8,41,657.4
41,117,160.5
15,152,135.0
152,44,204.6
19,77,320.7
77,14,299.8
14,52,127.6
14,127,314.8
127,39,280.4
39,109,237.0
133,91,152.8
91,163,313.6
162,13,554.5
162,40,413.9
13,42,319.8
42,40,40.7
8,42,759.5
42,117,58.9
8,13,450.3
13,117,378.5
117,40,64.0
162,152,115.3
152,108,191.4
104,108,375.9
108,148,311.6
148,146,80.0
21,90,396.9
90,132,152.2
101,29,252.3
29,137,110.7
77,22,353.8
22,52,227.8
52,30,186.6
109,22,135.5
