from,to,cost
317842,318711,0.872
318721,315955,1.322
315927,318236,1.222
318711,318721,0.233
315969,315927,0.256
312343,312439,0.283
318432,318412,0.229
317088,318432,3.762
317146,317143,0.315
317143,317862,1.305
317862,313190,2.891
317862,314730,2.891
317862,315828,2.891
317862,315830,2.891
313190,314697,0.788
313190,314698,0.788
313190,315831,0.788
314730,314697,0.788
314730,314698,0.788
314730,315831,0.788
315828,314697,0.788
315828,314698,0.788
315828,315831,0.788
315830,314697,0.788
315830,314698,0.788
315830,315831,0.788
314697,313166,0.739
314697,315827,0.739
314698,313166,0.739
314698,315827,0.739
315831,313166,0.739
315831,315827,0.739
313166,313172,0.26
313166,315823,0.26
315827,313172,0.26
315827,315823,0.26
313172,313178,0.498
313172,315826,0.498
315823,313178,0.498
315823,315826,0.498
313178,317956,0.893
313178,317960,0.893
315826,317956,0.893
315826,317960,0.893
317956,317947,0.334
317956,317948,0.334
317960,317947,0.334
317960,317948,0.334
317947,315834,0.864
317948,315834,0.864
315834,312648,1.022
315834,315841,1.022
312134,312133,1.771
312133,317814,0.887
317814,313159,0.861
313184,318586,0.233
316114,313184,0.232
312944,316114,0.151
316118,312944,0.445
312940,316118,1.15
312898,312940,1.025
312896,312898,0.525
312895,312896,0.755
312807,312895,0.749
312804,312807,0.582
312782,312804,0.554
312694,312745,0.617
312745,313951,0.95
313951,314121,0.502
314121,312865,1.131
312865,314147,0.496
312689,312694,0.747
312264,318493,0.994
314147,312858,0.543
312858,312782,0.789
313956,312689,0.756
315879,312689,0.756
312648,312651,0.182
312648,315842,0.182
315841,312651,0.182
315841,315842,0.182
312651,312233,1.44
312651,315836,1.44
315842,312233,1.44
315842,315836,1.44
312233,312382,0.628
312233,315838,0.628
315836,312382,0.628
315836,315838,0.628
312382,312386,0.549
312382,315822,0.549
315838,312386,0.549
315838,315822,0.549
312386,312388,0.651
312386,315843,0.651
315822,312388,0.651
315822,315843,0.651
312388,317909,0.445
312388,317910,0.445
315843,317909,0.445
315843,317910,0.445
317909,312421,0.589
317909,315847,0.589
317910,312421,0.589
317910,315847,0.589
312421,312422,0.888
312421,315849,0.888
315847,312422,0.888
315847,315849,0.888
312425,312513,0.753
312425,315852,0.753
315850,312513,0.753
315850,315852,0.753
312422,312425,0.379
312422,315850,0.379
315849,312425,0.379
315849,315850,0.379
312513,312514,0.895
312513,315853,0.895
315852,312514,0.895
315852,315853,0.895
312514,312520,0.319
312514,315873,0.319
315853,312520,0.319
315853,315873,0.319
312520,312523,0.813
312520,315854,0.813
315873,312523,0.813
315873,315854,0.813
312523,312525,0.587
312523,315855,0.587
315854,312525,0.587
315854,315855,0.587
312525,312527,0.346
312525,315856,0.346
315855,312527,0.346
315855,315856,0.346
312527,312562,1.873
312527,315825,1.873
315856,312562,1.873
315856,315825,1.873
312562,318565,0.348
312562,318566,0.348
315825,318565,0.348
315825,318566,0.348
318565,318575,0.942
318565,318576,0.942
318566,318575,0.942
318566,318576,0.942
318575,313956,0.847
318575,315879,0.847
318576,313956,0.847
318576,315879,0.847
