from,to,cost
317842,318711,0.872
318721,315955,1.322
315927,318236,1.222
318711,318721,0.233
315969,315927,0.256
312343,312439,0.283
317139,317141,0.286
317861,317139,1.4
317869,317861,1.606
317870,317861,1.606
314689,317869,2.841
314689,317870,2.841
315833,317869,2.841
315833,317870,2.841
317933,314689,1.044
317933,315833,1.044
317934,314689,1.044
317934,315833,1.044
312570,317933,1.78
312570,317934,1.78
314625,317933,1.78
314625,317934,1.78
315872,317933,1.78
315872,317934,1.78
316399,312570,1.153
316399,314625,1.153
316399,315872,1.153
316400,312570,1.153
316400,314625,1.153
316400,315872,1.153
314681,316399,0.136
314681,316400,0.136
315835,316399,0.136
315835,316400,0.136
314230,314241,0.295
314230,315908,0.295
315907,314241,0.295
315907,315908,0.295
313349,313344,0.336
313349,315911,0.336
315910,313344,0.336
315910,315911,0.336
314241,313349,3.383
314241,315910,3.383
315908,313349,3.383
315908,315910,3.383
313344,313339,3.375
313344,315913,3.375
315911,313339,3.375
315911,315913,3.375
313339,316279,1.329
313339,316281,1.329
315913,316279,1.329
315913,316281,1.329
316279,313082,0.486
316279,315914,0.486
316281,313082,0.486
316281,315914,0.486
313082,313080,0.231
313082,315915,0.231
315914,313080,0.231
315914,315915,0.231
313080,313037,7.58
315915,313037,7.58
313037,313035,0.257
313035,313010,2.027
313010,312188,2.308
312188,313005,0.478
312188,318742,0.478
313005,313003,0.152
313005,318744,0.152
318742,313003,0.152
318742,318744,0.152
313003,318218,1.047
318744,318218,1.047
318218,313846,0.035
318528,313000,0.202
318593,312946,0.416
312946,312942,0.606
312942,312900,1.346
312900,316129,0.831
316129,314598,0.531
314598,313204,1.656
313204,313197,0.429
313197,318540,0.634
312857,312856,0.508
312771,312757,0.139
312757,312857,1.477
313846,318528,2.512
318540,314157,0.675
314157,312771,0.565
312856,312854,1.609
312856,315860,1.609
312854,312852,1.599
312854,315861,1.599
312854,316429,1.599
315860,312852,1.599
315860,315861,1.599
315860,316429,1.599
314617,314681,1.185
314617,315835,1.185
315837,314681,1.185
315837,315835,1.185
314501,314617,0.714
314501,315837,0.714
315839,314617,0.714
315839,315837,0.714
317902,314501,1.278
317902,315839,1.278
317903,314501,1.278
317903,315839,1.278
312420,317902,0.448
312420,317903,0.448
315846,317902,0.448
315846,317903,0.448
317974,312420,0.588
317974,315846,0.588
317998,312420,0.588
317998,315846,0.588
318028,317974,2.099
318028,317998,2.099
318029,317974,2.099
318029,317998,2.099
312517,318028,0.96
312517,318029,0.96
315824,318028,0.96
315824,318029,0.96
318035,312517,1.13
318035,315824,1.13
318036,312517,1.13
318036,315824,1.13
313144,318035,0.45
313144,318036,0.45
315858,318035,0.45
315858,318036,0.45
312530,313144,1.233
312530,315858,1.233
315857,313144,1.233
315857,315858,1.233
317895,313144,1.233
317895,315858,1.233
317896,313144,1.233
317896,315858,1.233
312564,312530,1.343
312564,315857,1.343
312564,317895,1.343
312564,317896,1.343
315874,312530,1.343
315874,315857,1.343
315874,317895,1.343
315874,317896,1.343
312566,312564,0.941
312566,315874,0.941
315875,312564,0.941
315875,315874,0.941
312852,312566,0.73
312852,315875,0.73
315861,312566,0.73
315861,315875,0.73
316429,312566,0.73
316429,315875,0.73
