from,to,cost
871,763,1.1340000000000001
175,205,1.295
793,72,2.219
446,793,0.8
562,446,1.631
411,18,0.5489999999999999
84,385,0.34299999999999997
723,84,0.7879999999999999
386,723,1.03
73,488,1.235
285,318,0.48100000000000004
2,0,0.8170000000000001
42,537,0.64
277,419,0.562
490,277,1.3
365,490,1.7830000000000001
9,265,0.835
786,9,1.621
259,786,0.851
18,833,10.729000000000001
525,438,8.827
39,359,1.6059999999999999
850,259,0.802
854,850,0.209
612,854,0.451
671,588,1.055
72,530,0.8320000000000001
695,7,1.495
311,695,1.864
304,411,0.532
151,304,0.79
872,151,0.594
438,872,0.7240000000000001
763,621,5.17
474,871,0.8029999999999999
358,474,0.483
388,17,0.14400000000000002
205,388,1.466
64,492,1.8869999999999998
49,246,4.502
767,49,9.985
475,730,0.48100000000000004
605,308,0.483
143,336,1.6869999999999998
833,842,3.388
846,794,0.34
794,311,2.089
343,707,1.4480000000000002
544,689,2.093
382,562,0.289
385,236,0.828
74,605,0.882
678,641,0.27
741,678,1.37
613,829,0.619
829,741,1.849
201,613,1.3769999999999998
522,201,1.476
682,522,0.272
497,682,1.685
50,759,2.373
644,50,5.004
696,644,2.406
7,343,0.353
759,497,0.255
641,846,1.78
359,525,0.8340000000000001
10,340,9.636000000000001
340,696,19.063
842,143,1.548
790,386,0.581
707,544,0.49700000000000005
488,790,0.675
621,515,6.499
321,175,0.8079999999999999
802,321,0.48
492,802,0.48
141,358,1.7719999999999998
318,73,1.202
730,285,0.9620000000000001
308,2,0.946
0,475,0.9620000000000001
330,39,14.042
515,330,0.889
17,141,1.6059999999999999
13,39,1.212
13,74,0.546
370,42,0.883
537,13,0.8420000000000001
463,671,0.22399999999999998
530,463,0.319
689,382,0.079
588,612,1.492
419,370,1.205
265,365,1.012
246,64,0.375
