from,to,cost
126,720,1.348
626,709,0.589
785,69,0.512
603,245,0.852
245,596,3.8510000000000004
134,263,1.715
448,638,1.022
123,635,0.725
635,155,0.966
656,748,0.593
220,136,1.796
414,656,5.859
579,651,3.7260000000000004
514,15,0.405
15,204,0.8009999999999999
204,288,1.159
706,126,0.272
720,783,1.1079999999999999
783,23,0.35
709,224,0.779
406,354,0.401
280,320,0.7709999999999999
589,394,0.785
394,232,0.6559999999999999
232,785,0.995
381,149,0.344
149,701,0.598
545,606,0.273
606,368,0.929
368,362,0.7659999999999999
294,779,0.239
779,708,0.8340000000000001
708,659,0.20800000000000002
659,868,0.544
213,603,0.941
468,688,0.336
688,751,0.7070000000000001
738,270,0.319
270,134,0.337
263,848,0.305
848,460,1.237
460,55,0.239
55,206,1.492
206,516,0.368
516,448,0.978
155,614,0.625
614,598,0.41700000000000004
363,655,1.746
117,103,1.235
655,345,4.065
255,117,2.484
172,255,0.562
345,220,0.593
748,369,1.88
136,286,1.444
751,738,2.222
638,703,5.313
598,363,1.235
286,579,2.611
369,172,0.882
797,406,0.272
851,280,5.792999999999999
224,797,0.8270000000000001
826,60,1.365
60,109,4.113
326,826,1.207
109,514,3.625
23,626,0.20800000000000002
218,212,1.885
212,5,0.857
5,541,1.276
541,820,1.943
820,272,0.355
272,327,1.999
327,89,1.837
89,85,1.984
288,706,0.48100000000000004
354,851,0.851
103,158,2.004
596,468,2.272
701,583,0.778
202,218,2.9589999999999996
583,503,2.217
503,633,0.804
69,316,0.639
316,381,0.878
320,589,0.894
291,545,0.225
633,291,0.48200000000000004
362,294,0.733
868,213,0.608
