from,to,cost
542,480,2.575
32,266,0.596
34,56,0.628
251,297,0.725
233,41,1.6130000000000002
801,239,0.634
239,805,1.4869999999999999
266,34,0.742
56,425,0.9329999999999999
604,251,1.032
297,755,0.631
41,566,0.733
747,570,0.606
3,367,2.072
137,780,0.599
429,819,0.9520000000000001
325,610,1.046
807,853,0.23800000000000002
853,177,0.772
177,99,0.08
99,287,1.31
287,672,1.125
672,306,1.16
306,144,1.1540000000000001
144,847,1.609
847,424,2.103
424,282,0.845
282,660,0.8140000000000001
874,83,1.238
83,355,1.74
443,301,0.861
301,70,1.643
70,849,0.968
214,264,1.5
667,664,0.965
810,413,1.04
865,869,0.584
110,404,1.083
87,314,1.376
549,364,0.802
780,429,0.535
165,807,0.922
314,542,2.59
757,796,0.223
796,736,0.72
736,32,1.034
566,67,0.541
67,747,1.003
610,147,1.093
147,25,2.195
660,874,0.503
870,801,0.795
805,549,1.229
367,137,1.787
664,111,2.252
76,325,0.711
819,76,0.578
425,604,0.384
480,757,0.757
355,766,0.705
755,233,0.526
111,148,0.564
570,3,4.033
264,396,20.539
869,374,0.884
413,477,0.762
798,810,0.72
719,865,1.568
404,719,1.13
40,798,0.815
364,87,0.718
553,443,1.6480000000000001
665,553,0.96
248,753,0.6709999999999999
742,248,0.319
457,110,3.772
457,464,2.7430000000000003
803,457,0.644
428,803,2.086
753,665,0.927
243,428,2.062
464,742,1.121
366,403,0.289
529,366,1.7990000000000002
352,529,2.903
148,214,1.16
59,667,0.889
746,59,0.807
374,40,1.471
477,498,1.5959999999999999
396,352,6.295999999999999
